Procedure,Count,Percentage,Unique_Patients,Patient_Percentage
Triple Introducer,7,0.006552343867006141,6,0.07070469007777516
Tunneled Access Line,7,0.006552343867006141,7,0.08248880509073768
Rectal Swab,7,0.006552343867006141,7,0.08248880509073768
Pheresis Catheter,7,0.006552343867006141,6,0.07070469007777516
Open Tracheostomy,6,0.00561629474314812,6,0.07070469007777516
Venogram,6,0.00561629474314812,6,0.07070469007777516
Epidural Placement,6,0.00561629474314812,5,0.05892057506481263
Transfer Intercampus by Ambulance,5,0.0046802456192901005,4,0.047136460051850106
RIC,5,0.0046802456192901005,5,0.05892057506481263
Multi Lumen Cooling Catheter,5,0.0046802456192901005,5,0.05892057506481263
Unplanned Line/Catheter Removal (Non-Patient initated),4,0.0037441964954320803,4,0.047136460051850106
Massive Transfusion,4,0.0037441964954320803,4,0.047136460051850106
Isoflurane (Inhaled),4,0.0037441964954320803,2,0.023568230025925053
Presep Catheter,4,0.0037441964954320803,4,0.047136460051850106
TLS Clearance,4,0.0037441964954320803,4,0.047136460051850106
EMG,4,0.0037441964954320803,3,0.03535234503888758
Subdural Drain,3,0.00280814737157406,3,0.03535234503888758
Pneumothorax,3,0.00280814737157406,3,0.03535234503888758
Pericardial Drain Removed,3,0.00280814737157406,3,0.03535234503888758
Liver Biopsy,3,0.00280814737157406,3,0.03535234503888758
Pericardiocentesis,2,0.0018720982477160402,1,0.011784115012962526
ICP - PbtO2,2,0.0018720982477160402,2,0.023568230025925053
ICP - Camino,1,0.0009360491238580201,1,0.011784115012962526
TLS Spine,1,0.0009360491238580201,1,0.011784115012962526
Blakemore / MinnesotaTube Inserted,1,0.0009360491238580201,1,0.011784115012962526
Centrimag Inflow Line,1,0.0009360491238580201,1,0.011784115012962526
Centrimag Outflow Line,1,0.0009360491238580201,1,0.011784115012962526
