Procedure,Count,Percentage,Unique_Patients,Patient_Percentage
AVA,70,0.1538968890843135,68,0.8013198208814518
Indwelling Port (PortaCath),67,0.1473013081235572,61,0.7188310157907141
IABP line,65,0.1429042541497197,59,0.6952627857647891
Intraosseous Device,64,0.14070572716280094,59,0.6952627857647891
Trauma line,60,0.13191161921512587,57,0.6716945557388639
Thoracentesis,57,0.12531603825436957,52,0.6127739806740514
Nuclear Medicine,52,0.11432340331977577,50,0.5892057506481263
Single Lumen,51,0.11212487633285699,47,0.5538534056092387
Drain Removed,48,0.10552929537210069,48,0.5656375206222013
Brain Death,46,0.10113224139826317,45,0.5302851755833138
Family notified of transfer,42,0.0923381334505881,40,0.47136460051850104
Cath Lab (Sent),41,0.09013960646366934,38,0.447796370492576
Paracentesis,40,0.08794107947675057,34,0.4006599104407259
Chest Pain,39,0.08574255248983181,33,0.38887579542776335
Epoprostenol (Inhaled),36,0.07914697152907552,34,0.4006599104407259
CRRT Filter Change,36,0.07914697152907552,26,0.3063869903370257
Wound Culture,35,0.07694844454215675,31,0.36530756540183834
Small Bore Nasal Enteral Tube Placement,33,0.07255139056831923,29,0.3417393353759133
Unplanned Line/Catheter Removal (Patient Initiated),32,0.07035286358140047,31,0.36530756540183834
Family met with Case Manager,32,0.07035286358140047,27,0.3181711053499882
Trigger Initiated,28,0.061558755633725405,26,0.3063869903370257
Tunneled (Hickman) Line,23,0.050566120699131585,20,0.23568230025925052
ICP Bolt Inserted,21,0.04616906672529405,21,0.24746641527221305
Surgical Procedure at Bedside,19,0.041772012751456526,18,0.21211407023332546
Percutaneous Drain Insertion,18,0.03957348576453776,18,0.21211407023332546
Fall,16,0.035176431790700236,16,0.18854584020740042
Chest Opened,16,0.035176431790700236,12,0.14140938015555032
EVD #2,15,0.03297790480378147,13,0.15319349516851286
Esophogeal Balloon,15,0.03297790480378147,15,0.1767617251944379
Lumbar Drain,15,0.03297790480378147,14,0.16497761018147536
Colonoscopy,14,0.030779377816862703,11,0.1296252651425878
Cervical Spine,14,0.030779377816862703,10,0.11784115012962526
Unplanned Extubation (non-patient initiated),13,0.02858085082994394,13,0.15319349516851286
ECMO Outflow Line,13,0.02858085082994394,13,0.15319349516851286
ECMO Inflow Line,13,0.02858085082994394,13,0.15319349516851286
Temporary Pacemaker Wires Inserted,13,0.02858085082994394,12,0.14140938015555032
Transferred to Floor,12,0.026382323843025173,12,0.14140938015555032
ERCP (Travel to),12,0.026382323843025173,9,0.10605703511666273
Impella Line,12,0.026382323843025173,12,0.14140938015555032
Plasma Pheresis.,11,0.02418379685610641,6,0.07070469007777516
Respiratory Arrest,10,0.021985269869187644,10,0.11784115012962526
C-Spine Clearance,9,0.01978674288226888,9,0.10605703511666273
Pelvis,9,0.01978674288226888,9,0.10605703511666273
VAC Change,8,0.017588215895350118,6,0.07070469007777516
"Family meeting attempted, unable",8,0.017588215895350118,6,0.07070469007777516
Tandem Heart Inflow Line,8,0.017588215895350118,8,0.09427292010370021
Tandem Heart Outflow Line,8,0.017588215895350118,8,0.09427292010370021
Radiation Therapy,8,0.017588215895350118,5,0.05892057506481263
Pheresis Catheter,7,0.015389688908431351,6,0.07070469007777516
Tunneled Access Line,7,0.015389688908431351,7,0.08248880509073768
Rectal Swab,7,0.015389688908431351,7,0.08248880509073768
Open Tracheostomy,6,0.013191161921512587,6,0.07070469007777516
Venogram,6,0.013191161921512587,6,0.07070469007777516
Epidural Placement,6,0.013191161921512587,5,0.05892057506481263
RIC,5,0.010992634934593822,5,0.05892057506481263
Transfer Intercampus by Ambulance,5,0.010992634934593822,4,0.047136460051850106
Presep Catheter,4,0.008794107947675059,4,0.047136460051850106
Isoflurane (Inhaled),4,0.008794107947675059,2,0.023568230025925053
Unplanned Line/Catheter Removal (Non-Patient initated),4,0.008794107947675059,4,0.047136460051850106
EMG,4,0.008794107947675059,3,0.03535234503888758
TLS Clearance,4,0.008794107947675059,4,0.047136460051850106
Subdural Drain,3,0.006595580960756293,3,0.03535234503888758
Pericardial Drain Removed,3,0.006595580960756293,3,0.03535234503888758
Pneumothorax,3,0.006595580960756293,3,0.03535234503888758
Pericardiocentesis,2,0.0043970539738375294,1,0.011784115012962526
ICP - PbtO2,2,0.0043970539738375294,2,0.023568230025925053
ICP - Camino,1,0.0021985269869187647,1,0.011784115012962526
TLS Spine,1,0.0021985269869187647,1,0.011784115012962526
Blakemore / MinnesotaTube Inserted,1,0.0021985269869187647,1,0.011784115012962526
Centrimag Inflow Line,1,0.0021985269869187647,1,0.011784115012962526
Centrimag Outflow Line,1,0.0021985269869187647,1,0.011784115012962526
